Log file open, 07/15/14 16:52:42
LogInit:Display: Running engine for game: MyProject3
LogInit: Version: 4.2.1-2101290+++depot+UE4-Releases+4.2
LogInit: Compiled (64-bit): Jun 10 2014 22:21:56
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.2
LogInit: Command line:  
LogInit: Base directory: D:/Unreal Engine 4/Unreal Engine/4.2/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2014.07.15-15.52.42:567][  0]LogTaskGraph: Started task graph with 3 named threads and 4 total threads.
[2014.07.15-15.52.42:614][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2014.07.15-15.52.42:724][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2014.07.15-15.52.42:724][  0]LogInit: Object subsystem initialized
[2014.07.15-15.52.42:739][  0]LogInit: Selected Device Profile: [Windows]
[2014.07.15-15.52.42:739][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2014.07.15-15.52.42:755][  0]LogInit: Computer: MSI
[2014.07.15-15.52.42:755][  0]LogInit: User: spaeh000
[2014.07.15-15.52.42:757][  0]LogInit: CPU Page size=4096, Cores=4
[2014.07.15-15.52.42:757][  0]LogInit: High frequency timer resolution =2.435777 MHz
[2014.07.15-15.52.42:757][  0]LogMemory: Memory total: Physical=7.9GB (8GB approx) Virtual=131072.0GB
[2014.07.15-15.52.42:757][  0]LogMemory: Platform Memory Stats for Windows
[2014.07.15-15.52.42:757][  0]LogMemory: Process Physical Memory: 52.92 MB used, 52.92 MB peak
[2014.07.15-15.52.42:757][  0]LogMemory: Process Virtual Memory: 29.57 MB used, 29.57 MB peak
[2014.07.15-15.52.42:757][  0]LogMemory: Physical Memory: 2010.29 MB used, 8111.02 MB total
[2014.07.15-15.52.42:757][  0]LogMemory: Virtual Memory: 242.50 MB used, 134217728.00 MB total
[2014.07.15-15.52.43:252][  0]LogD3D11RHI: Found D3D11 adapter 0: NVIDIA GeForce GTX 860M (Feature Level 11_0)
[2014.07.15-15.52.43:252][  0]LogD3D11RHI: Adapter has 1985MB of dedicated video memory, 0MB of dedicated system memory, and 2048MB of shared system memory, 1 output[s]
[2014.07.15-15.52.43:259][  0]LogD3D11RHI: Found D3D11 adapter 1: Intel(R) HD Graphics 4600 (Feature Level 11_0)
[2014.07.15-15.52.43:259][  0]LogD3D11RHI: Adapter has 0MB of dedicated video memory, 0MB of dedicated system memory, and 1792MB of shared system memory, 0 output[s]
[2014.07.15-15.52.43:268][  0]LogD3D11RHI: Found D3D11 adapter 2: Microsoft Basic Render Driver (Feature Level 11_0)
[2014.07.15-15.52.43:268][  0]LogD3D11RHI: Adapter has 0MB of dedicated video memory, 0MB of dedicated system memory, and 256MB of shared system memory, 0 output[s]
[2014.07.15-15.52.43:268][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2014.07.15-15.52.43:278][  0]LogRHI: Texture pool is 1361 MB (70% of 1945 MB)
[2014.07.15-15.52.43:311][  0]LogD3D11RHI: Async texture creation enabled
[2014.07.15-15.52.43:664][  0]LogTextLocalizationManager:Warning: The selected culture 'de_DE' is not available; falling back to 'en'
[2014.07.15-15.52.43:732][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2014.07.15-15.52.44:832][  0]LogTargetPlatformManager:Display: Building Assets For Windows
